review_text,rating,is_recommended,predicted_sentiment,product_id,product_name,brand_name,skin_type,skin_tone,recommended_but_negative,not_recommended_but_positive
Tried switching cause I got bored and my skin is staring to age. Bad idea. This face wash has consistently kept me break out free for years. I wear make up daily and my breakouts are more about clogged pores than anything else. My only reason for a 4 instead of a 5 is that it doesn’t remove makeup but at least it’s not harsh on myskin.,4,1,0,P384539,Deep Cleanser with Red Clay,First Aid Beauty,combination,light,True,False
"I like it! it smells nice and doesn’t irritate my skin. I only wish it would remove makeup too, it doesn’t clean makeup. Also when I go over with a toner afterwards you can see dirt on the pad afterwards",4,0,2,P386197,GinZing Refreshing Scrub Cleanser,Origins,combination,light,False,True
This works really well. If you like pumpkin you will really enjoy it. It’s a little to pumpkinny scented for me. I’m not sure if I’ll keep it.,3,0,2,P387261,Pumpkin Enzyme Mask Enzymatic Dermal Resurfacer,Peter Thomas Roth,normal,light,False,True
"I’m not sure how to feel about this product. Over the last 2 years, I’ve received countless samples and always woke up with such soft, hydrated skin.  So I finally buy the 1oz size, and hrmmm, been using it for a month now. My skin is very soft and hydrated in the AM, no major breakouts like others have experienced, but I’ve noticed as I got to sleep or when I wake up, my face is crusty. Like instead of the product sinking it, it desiccates and forms a hard layer. That confuses me. It’s almost as if I forgot to wash off a 5-min mud mask or something. Not what the description says! Also like others have expressed, why isn’t it absorbing into my skin. So far no visible firming or anti-aging magic happening, that said I have no complaints waking up with super hydrated skins Another weird thought: I’ve now bought 1oz or 3.3oz sizes of Fresh’s hero products and they are never the same as their 7ml samples. It leaves me stumped why the free sizes are better than the full size. This happened to me with the Rose and Cloud creams. Anyone else?",4,1,0,P391799,Black Tea Firming Overnight Mask,fresh,dry,light,True,False
"I personally really like the smell of the mask and see some results (more in the beginning when I first started using it), but the consistency of the mask and how it gets applied can get really messy.When you first put it on, there’s a slight tingling/stinging feeling, but that is suppose to be normal. After using it for 4 days, I definitely feel like it made my skin softer and smoother. After using it for a few weeks, it definitely did not help me prevent breakouts and did nothing for my acne. It felt like it was a very gentle peel, that did a bit of exfoliation, but that is about it. The thing that I disliked the most was the consistency of this mask. The mask was almost watery, which makes it difficult to apply and messy as it will drip everywhere if you applied too much.",2,0,2,P400207,Blue Tansy BHA and Enzyme Pore Refining Mask,Herbivore,combination,lightMedium,False,True
I got this in the mini kit with other Herbivore products and fell in love with it after just one use.  I have combination oily acne prone sensitive skin and this didn’t break me out in the slightest.  Since I live in SoCal I keep most of my skincare in the fridge and I always use a scooper/spatula for everything.  I used it every 3 days and noticed my skin was smoother and brighter.  Fast forward 3 weeks and I notice black mold growing on the side of the jar and had to throw out a third of the product that was left.  I’m glad I didn’t waste my money on a full size.,3,0,2,P400207,Blue Tansy BHA and Enzyme Pore Refining Mask,Herbivore,combination,light,False,True
I was really excited to try this face mask but once I received I noticed that it does have a strong scent to it which isn’t as bad as other hav said but can cause a minor headache if scents bother you in products. I have very sensitive skin so once I tried it for five minutes my skin immediately turned red when I took it off. Even though my skin turned red it did make my skin appear better and feel smoother right away. It’s a great product for people who don’t have sensitive skin; I had to return because the redness lasted longer than 10 minutes in my skin.,3,0,2,P400207,Blue Tansy BHA and Enzyme Pore Refining Mask,Herbivore,normal,lightMedium,False,True
Its like crack for my skin!! My forehead acne is soo bad and this stuff cleared it right up.,5,1,0,P4016,Acne Control Clarifying Cleanser,Murad,combination,deep,True,False
"I love how this eye mask feels. It states it’s supposed to help absorb less product (if you skincare junkie) than other materials and be better for your skin. The mask is completely silk inside and out but my biggest pet peeve is that I got a marble shade and you can kinda see light through??????? What’s the point of an eye sleeping mask? That should be like the first point in wearing it no?! For someone who likes to travel and avoid light without necessarily making other people live in darkness (lol sounds dramatic but you get my drift) why spend 50 on a eye sleeping mask and it’s not completely blackout? Don’t know what’s the momme of the silk either as it’s not stated so who knows if it’s low density (aka cheaper, more prone to last less) but if it is it could probably explain why a lot of reviews complain about it ruining so fast. However, silk is delicate so thats important to note. Agree with everyone else. Could pay less for something else. Grab one if you find it for the price of a typical one. That’s when I’ll recommend it.",3,0,2,P402942,Silk Sleepmask,Slip,dry,light,False,True
"I’ll start with the good, the mask looks and feels very luxurious and the blue is gorgeous. Plus, it does completly block out light.But onto the bad. This mask absorbs SO MUCH product. After a few weeks of use it was heavy and gross, basically full of eye cream. I washed it like I do all my other silks (and never had a problem), but it ended up losing some of its firmness, and since I have a quite a large head it now bends into my eyes when I wear it.",2,0,2,P402942,Silk Sleepmask,Slip,dry,fairLight,False,True
It really took off ALL my make-up and my face felt really clean but also REALLY dry. I have dry skin with an oily T zone and this made my face feel stripped but moisturizer can fix that.,4,1,0,P405096,SEA Deep Dive Cleansing Gel,tarte,combination,deep,True,False
"It’s my fault cleanser, gave it four stars bc it’s a good cleanser but it does not have any WOW factor.",4,1,0,P411387,Superfood Antioxidant Cleanser,Youth To The People,dry,deep,True,False
"I got the mini size of this face wash and fell in love with it! I waited a few months and decided to buy the full size because the mini was so good. I dont know if they changed their formula or what but the full size dosent feel the same. It does not lather as well, and honestly my face dosent feel very clean after using it. Its stinks but I wont be repurchasing once I’m finished with this product.",3,0,2,P411387,Superfood Antioxidant Cleanser,Youth To The People,combination,fairLight,False,True
"For dry skin, this is not for you! It tried my skin out badly. It smells good and feels clean, but this is only for oily skin.",4,1,0,P411387,Superfood Antioxidant Cleanser,Youth To The People,dry,light,True,False
I was using Belif aqua cleanser and it broke me out. I tried this bad boy (recommend by Hyram) and I gotta say it got rid of my breakouts and made my face smooth. It’s stripping like some of the other cleansers I’ve used. The only thing I don’t like is the smell. I feel like I’m spreading a salad on my face!( I know I don’t eat enough greens but this is ridiculous!) I’ll continue to use it!,4,1,0,P411387,Superfood Antioxidant Cleanser,Youth To The People,combination,medium,True,False
Smells great and provides a nice cool soothing feeling if you keep in the fridge but does not actually de-puff anything,2,0,2,P412025,Cucumber De-Tox Hydra-Gel Eye Patches,Peter Thomas Roth,combination,deep,False,True
I had an incident with waxing that tore off large areas of my skin. I used several different soothing serums on the areas but I saw the biggest difference when I applied the Honey Savior. That night it scabbed over.  The scabs naturally peeled off the next day with brand new pink skin beneath!,5,1,0,P414293,Honey Savior All-in-One Skin Repair Salve,Farmacy,combination,fair,True,False
"I started using Retin A and my skin got really dry. I used every sample I had in my arsenal trying to find ANYTHING that would help. When I first opened the foil pack and saw it was a salve I was so bummed. I’ve used aquaphor on occasion when my skin is really peely but honestly HATE the greasy heavy feel.  But, not wanting to waste my sample, and knowing I was home for most of the day made me slather it on. I said to my daughter at the time “well this is a terrible idea”.  Ten minutes later I realized this wasn’t anything like aquaphor, it was sinking in and didn’t feel like it was just sitting on top of my skin. By the end of the day I was hooked, my skin was glowing. So, I decided to go online and order it-but it was sold out. After a few days of continuous use, and amazing soft skin I was on a mission-I needed this stuff now! I finally tracked down a JCP location that had 2 left in stock, went right out and got them! Hope it’s never discontinued because I’ll cry.",5,1,0,P414293,Honey Savior All-in-One Skin Repair Salve,Farmacy,dry,light,True,False
"I received a sample of this with a previous online order, and tucked it in my drawer of umpteen other samples I never use.  I’ve been using some heavy-duty retinol and went a little overboard the last couple nights and fried my moisture barrier.  If you’ve ever done this, you’re wincing right now as you read this.  My face was red and had that stingy sunburned feeling.  Very uncomfortable.  I looked through my creams and samples for something suitable that wouldn’t irritate my already angry skin, and took a flyer with this mask.  It said to leave on for 10 minutes, but I left it for 30 because it felt so soothing.  30 minutes later all the redness was gone and my skin was happy.  Finished it off with my Embryolisse Lait Creme Concentre.  I’ve never used Ren products before but I already have this mask in my basket.",5,1,0,P415620,Evercalm Ultra Comforting Rescue Mask,REN Clean Skincare,combination,light,True,False
"I have a love-hate relationship with this cleanser. It has done wonders for my cystic acne—I haven’t had a painful pimple in months! However, it is way too strong for my skin. All around my eyes the skin is now dry, flaky and painful. The clear skin is awesome but the dry skin is not a cute look. I will have to discontinue. Long story short, if your skin can take it this product is amazing! If you have sensitive skin I would not recommend.",3,1,0,P415667,EradiKate Daily Cleanser Acne Treatment,Kate Somerville,combination,fair,True,False
"This product is difficult to get out of the bottle. Not sure if it’s just my bottle or it’s the way they were all made, but I can barely get anything out without shaking the bottle senseless.This does leave my face red for about an hour after use, but the results are phenomenal",3,1,0,P415777,T.L.C. Sukari Babyfacial AHA + BHA Mask,Drunk Elephant,combination,fairLight,True,False
This is a great mask to exfoliate and refresh your skin. It is quite strong so my normal dry 40 yr skin did flake a bit a couple days later. For the price the ordinary peel is a better value and works similarly.,3,0,2,P415777,T.L.C. Sukari Babyfacial AHA + BHA Mask,Drunk Elephant,combination,light,False,True
"Be prepared, for the first 30 seconds putting this on it does burn pretty bad. then after its okay. i put mine on for 17 mins not the full 20. Maybe work your way up to it. Once you rinse this off it does make your face feel like a babys butt. no joke. But that burn, just push thru it.",5,1,0,P415777,T.L.C. Sukari Babyfacial AHA + BHA Mask,Drunk Elephant,normal,medium,True,False
When first applied it stings for a minute but leave my skin very soft. I don’t use the oil after just a moisturizer. All skin oil breaks my skin out. I have oily skin.,5,1,0,P415777,T.L.C. Sukari Babyfacial AHA + BHA Mask,Drunk Elephant,combination,deep,True,False
The smell is amazing but this product just was not for me. I should have read more about it before purchasing. My lips are SUPER sensitive and this product made it more itchy (I think due to the plumping ingredient). It may work better for others. When putting it on at first it does feel very hydrating but again it works up plump your lips.,3,1,0,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,combination,lightMedium,True,False
This is super pretty as a regular gloss through the day but im not all that sold on it.  After sleeping in this for a week i felt like it was actually drying my lips out!!,3,1,0,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,normal,lightMedium,True,False
"I’ve purchased this in its full size and has also received a miniature version as a Sephora reward, and despite giving it many months prior to reviewing it - my opinion about it hasn’t changed. While I love the moisturizing, smooth glide upon application - that was as far as it goes. I’m not a fan of applying lip balms with my fingers, so there goes that. More importantly, the product did not last long on my lips - whether during the daytime or when applying at night before I hit the hay. I find myself having to apply more product about every half an hour to keep my lips moist. Last but not least, the sleeping mask did absolutely nothing for my dry, chapped lips. Thankfully the latter one I have was free from Sephora rewards, because I can’t see myself purchasing this again.",2,0,2,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,combination,medium,False,True
It was really moisturizing and nice but it made me break out around my lips. If you don’t have acne prone skin then I would say go for it though.,2,1,0,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,oily,light,True,False
"Unreal, worth all the hype. Nothing helps winter lips like this product",5,1,0,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,oily,medium,True,False
"I purchased this lip mask looking for a little extra “oomph,“ something to really leave my pout super kissably soft. I’m also becoming more aware of my aging, and thought this would be the icing on the cake of my skincare routine. Hydration is never a bad thing, right?I was super impressed by the packaging, loved the scent, and loved the adorable little application wand that comes in a special pouch along with it. Unfortunately, the good ends there.I usually exfoliate with a gentle lip scrub, put on some lip balm, and go to bed. I put a generous layer of the mask over this, thinking it would help keep the balm moisture in. When I awoke to dry, chapping lips, I thought maybe my lip balm had conflicted with the mask, so the next night I only gently exfoliated and applied the mask. My lips even worse. Wanting to give it a fair chance, I applied it for several days without exfoliating or extra products. Absolutely crackled and chapped my usually-soft lips.Thinking I was crazy still, or somehow doing something wrong, I came back to read some other reviews and found several people experienced this. Super bummed. Will be returning.",1,0,2,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,normal,light,False,True
"It’s as good as vasaline, but not as thick on the lips but same outcome.",3,0,2,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,normal,fair,False,True
"it’s really good but so overrated like there’s nothing special about it, not worth the money tbh",4,1,0,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,dry,porcelain,True,False
"Promised results obtained. It work like a charm! But!!! For a sweet candy flavor, it’s neither sweet nor candy.  It feel like anise with an oil base, almost plastic-ish. I love collecting all the flavors of LaNeige lip masks because they work so well, but this one flavor is a disappointment. I could had skip this one.  In short: buy it, just pick another flavor.",4,1,0,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,combination,fairLight,True,False
"Nothing worked for my chapped lips until i found this. I honestly bought it because of the reviews, I’ve only used it twice and im so thankful it works. My lips for the first time felt soft all day long. Unfortunately, i have small lips...never liked that quality so i always bought plumpers but i believe it made my lips even more cracked and dry. This product is the answer",5,1,0,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,combination,lightMedium,True,False
I used the Sugar recovery lip mask before i used this and found that one so much better than this. This barely worked on making my lips soft and just worked like some regular lip balm. I ordered it and got it with two other products so i will keep t but i wish i could have returned it.,2,0,2,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,oily,light,False,True
"I broke into my trial size jar today. So, I used it as a light scrub, I wasn’t stingy with it but not too much, I let it sit for a lil while, i felt a little sting, but nothing to make me worry or anything. Washed it off and went about my day, but no make up. Basically started racing around caring for the animals, fast forward, hours later, I kind a get cornered into going out to lunch and I’m like look I have no make up on you know I probably don’t want to eat in the restaurant and before I walked into the restaurant I looked in the mirror to check my hair and I did a double take, my skin looked amazing. normally, too many wrinkles and an uneven complexion, bit they were not showing. I was flat shocked in a good way and dined inside. I am ordering the large one! Thanks!  I can’t wait to use this again. My honey mask may have to become my No. 2 fave.",5,1,0,P426080,Lotus Youth Preserve Rescue Mask,fresh,combination,fair,True,False
"I got this cleanser as part of a Drunk Elephant routine. Using this Jelly Cleanser in tandem with DU T.L.C Famboos Gycolic Night Serum   DU Lala Retro Whipped Cream Crème Fouettée  DU C-Tango Multivitamin Eye Cream   DU Lippe Balm- I saw noticeable results in my skins clarity within two weeks. I recently moved to South Florida from Portland, OR. Since this move my skin has had a terrible time adjusting. I started getting cystic acne for the first time in my life. My skin was dry, irritated, painful, and zit ridden. I know-HOW GROSS! However, I did not have high hopes for this DU product as I got it as a tester as part of my Sephora birthday gift prior to my recent usage, and I was not impressed then. However, desperate to aid my skin I opted to try this system as a whole (utilizing multiple DU products). What I did not know about DU elephant prior to this, was their products work better when used together. This also increases the bioavailability of these products, which is important to note. You won’t see the changes you want using just this cleanser, you need to use multiple DU elephant products to increase their efficacy. Overall, this product worked, you can see the difference in the photos I posted. Which were taken two weeks apart. These products work! I am so happy, and am now a Drunk Elephant fan for life!",5,1,0,P426836,Beste No. 9 Jelly Cleanser,Drunk Elephant,combination,light,True,False
I received this product complimentary for reviewing purposes as an Influenster reviewer. Drunk Elephant Has excellent products for all skin types. Unfortunately this cleanser did not work well with my oily skin. It actually made my skin look and feel more oily. This product works well with others skin types so please don’t let my review deter you from trying this product out. The great thing about drunk elephant is that they have many products that will work well with oily skin. Although the price range is a bit high these products ohas excellent products for all skin types. Unfortunately this cleanser did not work well with my oily skin. It actually made my skin look and feel more oily. This product works well with other skin types so please don’t let my review deter you from trying this product out. The great thing about drunk elephant is that they have many products that will work well with oily skin. Although the price range is a bit high these products are of high quality and are worth every penny.,3,1,0,P426836,Beste No. 9 Jelly Cleanser,Drunk Elephant,combination,lightMedium,True,False
"The cleanser itself is great. It removes make-up well and is super gentle. The super disappointing part is the packaging. It leaks!!! It doesn’t matter how you store it or close it, it leaks. I’ve lost like 2/3 of mine even though I’m super careful. Please fix the packaging and I’ll be in love!!",3,0,2,P426836,Beste No. 9 Jelly Cleanser,Drunk Elephant,oily,lightMedium,False,True
"On the plus, it does totally clean off all makeup, dirt, oils. Too drying for a daily wash though. Caused my skin to flake, even my eye lids. Would only recommend for a night wash after a FULL face of makeup or for someone with very oily skin. Not gentle enough for more sensitive skin.",3,1,0,P426836,Beste No. 9 Jelly Cleanser,Drunk Elephant,normal,light,True,False
"absolutely love this cleanser! paired with the cerave foaming face wash, WORKS WONDERS OH MY. my absolute fav tatcha product. onto my 2nd bottle.",5,0,2,P427536,The Deep Cleanse Gentle Exfoliating Cleanser,Tatcha,combination,deep,False,True
"Love the product, hate the bottle. I wish they would rethink the design the bottle because it is an amazing cleanser.",4,1,0,P427536,The Deep Cleanse Gentle Exfoliating Cleanser,Tatcha,combination,light,True,False
"I fell in love with this product... I came back on here to actually buy another bottle, but see the price skyrocketed from like $24 to $38?? I loved it because I found something that worked wonderfully for not a completely terrible price. I just can’t justify buying for that amount.",3,0,2,P427536,The Deep Cleanse Gentle Exfoliating Cleanser,Tatcha,oily,light,False,True
"This was my first time trying a product by dermalogica. I suffer from extremely dry skin. I was excited to see this came in a gel which works best on my skin compared to a cream. So far I really like the product, however I think it’s pretty comparable to other products on the market. If you the extra money to splurge then I would say try it otherwise you can find a similar product cheaper",3,0,2,P428240,Calm Water Gel Moisturizer,Dermalogica,normal,fair,False,True
Love the smell and feel. Don’t use it as a mask but as a moisturizer at night and on the plane when traveling. I will say that I ABSOLUTELY HATE the packaging. Nothing like dealing with a screw top when your hands are covered in lotion...also the tube gets pressurized really easily when traveling and it just SQUIRTS out a giant amount. Real waste.,4,1,0,P429952,Jet Lag Mask,Summer Fridays,combination,fair,True,False
"I’ve been hearing so many raves about this product so I gave in! I’ve read about the burning/redness/rashes and I think it’s definitely not for those who have rosacea, fair sensitive skin (it varies), or irritated skin/current breakouts. It might be due to the peppermint scent/feel. I have to be careful with what I put on my face because I tend to break out from certain oils and products. When I put it on my face was glowing and instantly hydrated! Unfortunately this broke me out the next day.",4,1,0,P429952,Jet Lag Mask,Summer Fridays,combination,medium,True,False
"This is probably the most confusing product I’ve ever purchased. It’s incredibly hyped up yes but at the same time I can see why...When I used it as an overnight mask, after using my regular cleanser, I didn’t see anything amazing. When I used it as a moisturizer, I saw that my skin was a bit brighter and more hydrated especially being out in the Toronto winter. At the same time I can’t use it too much as a moisturizer because it’s so thick I feel like it clogs my pores but then again  it’s the only thing that’s hydrating my skin from the harsh winter air. When I used it as a primer, particularly with a matte foundation I saw great results. My favourite way to use this at the moment is after using Juice Beauty’s green apple chemical peel and going to sleep, so I guess as an overnight mask. But only as an overnight mask with this peel. I’ve only used this for about a month though so maybe I’ll figure it out in time.",5,1,0,P429952,Jet Lag Mask,Summer Fridays,oily,tan,True,False
"A couple of months after opening, I’m noticing the scent is starting to change. When applied to the skin, there is still a soft orange scent, but I can also smell a hint of plastic or something a little off. I never use my fingers to remove moisturizer from jar. I haven’t noticed a change in the product’s effectiveness.",4,1,0,P430337,C-Rush Vitamin C Gel Moisturizer,OLEHENRIKSEN,normal,fair,True,False
"If spoiled milk was a cream, this would be it. It’s a great winter-moisturizer…if it weren’t for the sour smell. The texture is smooth and light and it doesn’t feel heavy on my combination skin. Just wish it didn’t stink.",3,0,2,P433887,Squalane + Omega Repair Deep Hydration Moisturizer,Biossance,,,False,True
"I am literally angry at how much I love this moisturizer. The texture, how soft & plump my skin feels.. even 12 hours later I still feel it sealing the hydration in on my face. I am angry because the smell is just too much. It’s giving me sweaty gym bag vibes, sorry I know that’s gross but honestly, this is such a great formula..I wish I could find a dupe for this without the smell :(",3,0,2,P433887,Squalane + Omega Repair Deep Hydration Moisturizer,Biossance,dry,fairLight,False,True
At first this cream worked great and made my skin so hydrated. Since there is no spatula to keep in the container I used my fingers. Now several weeks later it is breaking me out as I likely introduced bacteria into the bottle with my fingers.,4,1,0,P433887,Squalane + Omega Repair Deep Hydration Moisturizer,Biossance,normal,light,True,False
It was awesome before the reformulation :( now it aggravates my acne.,3,0,2,P436359,Blueberry Bounce Gentle Cleanser,Glow Recipe,combination,lightMedium,False,True
"I love everything from Glow Recipe I’ve tried except for this cleanser. I’ve tried over and over to make it work for me, but it severely dries out my skin to the point where I have to use multiple masks and serum to get my skin back to normal . I wish they would make a moisturizing cleanser for us dry skin folks!",2,0,2,P436359,Blueberry Bounce Gentle Cleanser,Glow Recipe,combination,lightMedium,False,True
"This products has amazing ingredients and claims however.. the fragrance. Not that the smell is bad, but the added fragrance irritated my skin upon first use! I will be returning this unfortunately.",3,1,0,P436359,Blueberry Bounce Gentle Cleanser,Glow Recipe,combination,light,True,False
"I’ve been using this product for about three years now. While I was impressed with its effectiveness in the beginning, especially as far as eliminating existing acne/breakouts, over time I’ve become disappointed in its ability to prevent new breakouts altogether. I keep my face clean, drink plenty of water, etc. in addition to religiously using this wash daily, but looking at my face at this moment you wouldn’t think I used an acne control cleanser. It’s definitely not as drying or irritating as other washes I’ve tried in the past which is a big reason I liked it (I have sensitive/combo skin). That’s why it’s such a bummer to realize that I will have to once again search for a new, more effective cleanser.",2,0,2,P440651,Mini Acne Control Clarifying Cleanser,Murad,combination,tan,False,True
